iteration,costs
0,59938
1,59542
2,58795
3,59173
4,59389
5,58993
6,59299
7,59416
8,59317
9,59623
10,59353
11,60271
12,59389
13,59128
14,59146
15,59389
16,59902
17,59650
18,59254
19,59569
20,58777
21,59758
22,59731
23,59101
24,59587
25,59254
26,59452
27,59686
28,59308
29,59569
30,59479
31,58606
32,59731
33,58660
34,59560
35,59002
36,59362
37,59758
38,59092
39,59263
40,58759
41,60037
42,59065
43,59632
44,60028
45,59947
46,58867
47,59101
48,60037
49,59443
50,60001
51,59920
52,59281
53,59164
54,59092
55,58984
56,59362
57,60208
58,59641
59,59893
60,59560
61,59326
62,58327
63,59290
64,58831
65,59911
66,59461
67,58750
68,59065
69,60001
70,60082
71,59191
72,58777
73,58849
74,59461
75,59155
76,59029
77,59461
78,59326
79,59506
80,59272
81,59614
82,59353
83,59758
84,58867
85,58993
86,58750
87,59308
88,59065
89,59380
90,58732
91,59641
92,58939
93,59137
94,59074
95,59677
96,59173
97,59002
98,59668
99,59245
100,59956
101,58993
102,59605
103,58687
104,59506
105,59128
106,58381
107,59362
108,59389
109,58507
110,60217
111,58948
112,59659
113,59461
114,59254
115,60019
116,60145
117,59731
118,59272
119,58957
120,58822
121,59065
122,59578
123,59173
124,59902
125,59740
126,59776
127,59173
128,60010
129,59164
130,60433
131,59884
132,59515
133,59668
134,59299
135,58858
136,59263
137,59281
138,59479
139,60280
140,59776
141,59776
142,59353
143,59470
144,58435
145,59479
146,59506
147,58966
148,58912
149,60037
150,58813
151,59731
152,59695
153,59587
154,59308
155,59308
156,59974
157,60064
158,59731
159,60001
160,59101
161,59137
162,58930
163,58822
164,59155
165,59164
166,60073
167,58948
168,59425
169,60055
170,58795
171,59362
172,59317
173,59650
174,59434
175,59623
176,59092
177,59254
178,59146
179,59263
180,59047
181,59137
182,59551
183,59857
184,59263
185,59254
186,58768
187,60037
188,59506
189,58885
190,59425
191,59425
192,58129
193,59011
194,59128
195,59866
196,59434
197,59803
198,59479
199,58372
200,59866
201,58147
202,59074
203,59938
204,59614
205,59614
206,59263
207,59641
208,59515
209,59830
210,59839
211,58624
212,59713
213,59785
214,58705
215,59308
216,59839
217,60001
218,58948
219,59623
220,59128
221,59569
222,58984
223,59659
224,58732
225,59155
226,59218
227,58777
228,58957
229,59641
230,59569
231,59281
232,59389
233,59182
234,59677
235,59641
236,58840
237,60028
238,59065
239,59002
240,59245
241,59389
242,59128
243,59497
244,59281
245,59506
246,59227
247,59299
248,58714
249,59983
250,59974
251,59479
252,59569
253,59218
254,59110
255,59155
256,58444
257,59074
258,59524
259,59785
260,59794
261,59371
262,59632
263,59263
264,59578
265,59281
266,60082
267,59326
268,59299
269,59803
270,59245
271,60226
272,59308
273,59722
274,59794
275,59605
276,59551
277,58552
278,59632
279,58849
280,59515
281,59407
282,59659
283,60280
284,59416
285,59434
286,59344
287,60091
288,59218
289,58705
290,59362
291,59272
292,59119
293,58894
294,59092
295,59245
296,59965
297,58930
298,59605
299,59218
300,59812
301,59398
302,60064
303,59578
304,59200
305,59749
306,59191
307,59623
308,59380
309,60244
310,59380
311,59254
312,58966
313,59731
314,59551
315,58993
316,58498
317,59137
318,59614
319,59641
320,58948
321,59164
322,59002
323,58903
324,58930
325,59389
326,59038
327,59587
328,60100
329,59920
330,59101
331,58696
332,59344
333,59875
