iteration,costs
0,58390
1,58669
2,58822
3,58894
4,59011
5,58444
6,58480
7,59272
8,58489
9,58561
10,58669
11,58435
12,59155
13,59011
14,58930
15,59362
16,59065
17,58552
18,59317
19,58948
20,58876
21,58930
22,58426
23,58777
24,58723
25,58660
26,58543
27,58399
28,58903
29,58795
30,58750
31,58597
32,58471
33,58534
34,58453
35,58237
36,58804
37,58678
38,58651
39,58642
40,58786
41,57526
42,58543
43,59443
44,58651
45,58138
46,58984
47,59344
48,58399
49,58624
50,58165
51,58642
52,57814
53,59461
54,58993
55,58660
56,59317
57,58309
58,58390
59,58651
60,58561
61,58903
62,58624
63,58705
64,58210
65,57751
66,57805
67,59092
68,58570
69,58120
70,58444
71,59002
72,59362
73,58129
74,58885
75,58867
76,58426
77,58093
78,58021
79,58768
80,58849
81,58516
82,58012
83,57922
84,58165
85,58732
86,58147
87,58579
88,58246
89,58264
90,58777
91,58741
92,57949
93,59380
94,59677
95,58426
96,58489
97,58264
98,58534
99,58750
100,58138
101,58228
102,58246
103,58579
104,58651
105,58165
106,58426
107,58804
108,58264
109,58633
110,58948
111,58165
112,58399
113,59425
114,58354
115,59227
116,59317
117,58390
118,59065
119,58849
120,58129
121,58750
122,58219
123,59227
124,57760
125,58543
126,58444
127,57265
128,58876
129,59020
130,59308
131,58588
132,59029
133,58210
134,58561
135,58597
136,58696
137,58462
138,58624
139,58795
140,58993
141,58903
142,59065
143,58822
144,59380
145,59029
146,58588
147,58498
148,58993
149,58057
150,58966
151,58831
152,58318
153,58939
154,58840
155,58894
156,58570
157,58966
158,57796
159,59011
160,59200
161,58705
162,58633
163,58435
164,58561
165,59254
166,57940
167,58516
168,59137
169,58561
170,58363
171,58093
172,59137
173,58444
174,59056
175,58174
176,58795
177,59137
178,58831
179,58408
180,58840
181,58678
182,58948
183,58255
184,58516
185,59056
186,58039
187,57868
188,58318
189,58318
190,59083
191,58417
192,59641
193,59290
194,58831
195,58939
196,58741
197,58372
198,58651
199,58534
200,59065
201,58237
202,58480
203,58489
204,58471
205,58480
206,58336
207,57697
208,59128
209,58759
210,59029
211,59128
212,59092
213,59173
214,59020
215,58282
216,58732
217,58219
218,58534
219,58381
220,58489
221,58768
222,58768
223,58804
224,58930
225,58129
226,59227
227,58453
228,58417
229,58552
230,58705
231,58534
232,58579
233,59227
234,58831
235,58804
236,59506
237,58210
238,58489
239,59074
240,58588
241,58921
242,58345
243,58948
244,58534
245,58489
246,59083
247,58795
248,58651
249,58372
250,58480
251,58732
252,58723
253,58813
254,58741
255,58768
256,58696
257,58453
258,57823
259,58840
260,58777
261,59137
262,57976
263,58588
264,58948
265,57976
266,58345
267,58804
268,59074
269,58705
270,58498
271,58588
272,58525
273,58435
274,58336
275,59227
276,58354
277,58507
278,58219
279,58588
280,58183
281,59281
282,59308
283,59164
284,58273
285,58399
286,58642
287,58705
288,58201
289,58444
290,59272
291,57400
292,59155
293,59092
294,58579
295,58615
296,58840
297,58291
298,58390
299,59236
300,58318
301,59029
302,58390
303,58669
304,57805
305,58840
306,59029
307,58120
308,59407
309,57850
310,59011
311,58705
312,59038
313,58120
314,58273
315,58750
316,58435
317,58795
318,59020
319,58534
320,57598
321,58561
322,58471
323,58759
324,58390
325,58381
326,58579
327,58723
328,58732
329,58597
330,58282
331,58912
332,58912
333,58147
334,57697
335,58786
336,59065
337,58498
338,58453
339,58714
340,58174
341,58489
342,58471
343,57850
344,58453
345,58435
346,58957
347,58147
348,58588
349,58993
350,58165
351,58669
352,58471
353,59092
354,58210
355,58228
356,58624
357,58264
358,58318
359,59200
360,57967
361,58561
362,58939
363,58606
364,59380
365,58786
366,58570
367,58669
368,58300
369,57922
370,58633
371,58579
372,58984
373,59083
374,58741
375,58381
376,58957
377,58345
378,58939
379,57994
380,58273
381,58543
382,58840
383,58696
384,58372
385,57886
386,58210
387,59263
388,58507
389,58858
390,58138
391,58435
392,58795
393,59209
394,57949
395,59362
396,58075
397,59290
398,58588
399,58039
400,58120
401,58885
402,58669
403,58804
404,58525
405,59065
406,58678
407,58975
408,58804
409,57823
410,58525
411,58228
412,58543
413,58030
414,58858
415,59047
416,59011
417,58498
418,59155
419,58417
420,58903
421,58579
422,58111
423,58660
424,58678
425,58273
426,58750
427,58633
428,59083
429,59479
430,58327
431,58867
432,58849
433,58057
434,59047
435,58327
436,57787
437,58930
438,59299
439,58129
440,58381
441,58426
442,58912
443,58543
444,58624
445,58021
446,58696
447,58912
448,58858
449,58030
450,58714
451,58921
452,58588
453,58507
454,58957
455,58417
456,58750
457,58660
458,58885
459,58147
460,58732
461,58885
462,58759
463,58678
464,58084
465,58066
466,59137
467,59119
468,59326
469,58885
470,58615
471,58372
472,59056
473,57787
474,58615
475,58417
476,58129
477,58408
478,58741
479,59362
480,58291
481,58723
482,58984
483,58948
484,59317
485,58966
486,58831
487,58480
488,58345
489,58921
490,58804
491,58885
492,58525
493,57886
494,58696
495,59227
496,58147
497,58660
498,58984
499,58012
500,58615
501,58534
502,59056
503,59308
504,58642
505,58642
506,58435
507,58642
508,58345
509,59308
510,58840
511,58732
512,58957
513,58498
514,58633
515,58975
516,58687
517,58858
518,58390
519,58624
520,58129
521,58912
522,57787
523,58561
524,58516
525,58921
526,57913
527,59047
528,58300
529,59038
530,57796
531,59065
532,59515
533,58417
534,58696
535,58795
536,58525
537,58588
538,58750
539,57760
540,57958
541,58642
542,58552
543,58309
544,58921
545,58129
546,58579
547,58543
548,58696
549,58984
550,58471
551,58282
552,58516
553,58624
554,58768
555,58633
556,58237
557,58660
558,58633
559,58624
560,58120
561,58291
562,57994
563,58696
564,58363
565,59020
566,58336
567,58588
568,57706
569,58228
570,58930
571,59056
572,58840
573,58003
574,58255
575,57787
576,57976
577,58228
578,58012
579,58309
580,58282
581,58354
582,58480
583,58624
584,58579
585,58426
586,58768
587,57904
588,59020
589,58579
590,58354
591,58687
592,58921
593,59146
594,58795
595,59641
596,58669
597,58984
598,58669
599,57742
600,57913
601,58525
602,58453
603,58732
604,58642
605,58687
606,58876
607,58399
608,58822
609,58399
610,57994
611,58633
612,58408
613,58957
614,59470
615,58660
616,58867
617,58903
618,58975
619,58192
620,58651
621,58750
622,58993
623,58597
624,58102
625,58021
626,58768
627,58210
628,59731
629,59020
630,58111
631,59155
632,59137
633,58687
634,58732
635,58597
636,58651
637,58417
638,57850
639,58903
640,58723
641,58795
642,58525
643,58363
644,59047
645,58264
646,58957
647,59911
648,58822
649,59416
650,59101
651,58588
652,59047
653,58741
654,57868
655,59002
656,58786
657,58624
658,57733
659,58759
660,58894
661,58300
662,58030
663,58336
664,58561
665,58444
666,58525
667,58705
668,58165
669,58768
670,58372
671,58462
672,58651
673,58795
674,59065
675,58570
676,58174
677,58876
678,58957
679,57985
680,58858
681,58723
682,58759
683,58687
684,58813
685,58768
686,57913
687,57868
688,58651
689,58507
690,58831
691,58255
692,58471
693,59407
694,58849
695,59272
696,58714
697,58795
698,58606
699,58309
700,58912
701,58246
702,58624
703,58705
704,57850
705,59326
706,58453
707,58633
708,58264
709,59029
710,58003
711,58066
712,58624
713,58444
714,58219
715,58723
716,58444
717,58408
718,59236
719,58543
720,59065
721,58210
722,59182
723,58642
724,58021
725,58588
726,58651
727,59182
728,58669
729,59074
730,58075
731,58534
732,57922
733,58750
734,58408
735,58165
736,58903
737,58399
738,58633
739,58849
740,59443
741,59200
742,58093
743,58795
744,58336
745,58606
746,58426
747,59056
748,59200
749,58471
750,59578
751,58039
752,59272
753,59092
754,58156
755,58642
756,58084
757,59110
758,58408
759,58201
760,58687
761,58642
762,58795
763,58741
764,58606
765,58534
766,58741
767,59038
768,59200
769,58804
770,58723
771,58822
772,58705
773,58336
774,59236
775,58516
776,58786
777,58525
778,58804
779,58327
780,58642
781,58219
782,58282
783,58633
784,58723
785,59380
786,58912
787,58579
788,58435
789,58849
790,59011
791,58372
792,58579
793,59155
794,59011
795,58912
796,58102
797,58273
798,58750
799,58651
800,58102
801,58381
802,58669
803,58381
804,58183
805,59119
806,58228
807,58651
808,58768
809,58174
810,57976
811,58228
812,58732
813,58696
814,58831
815,58570
816,58336
817,58786
818,58759
819,58291
820,58867
821,58489
822,58651
823,58102
824,58039
825,58318
826,58669
827,58084
828,59002
829,58588
830,58354
831,58669
832,58039
833,59245
834,57841
835,58417
836,59146
837,57967
838,58543
839,58552
840,58327
841,58930
842,58957
843,58831
844,59011
845,58273
846,59218
847,59137
848,58912
849,58588
850,57571
851,58264
852,58444
853,58237
854,59236
855,59389
856,58822
857,58606
858,58498
859,58858
860,59065
861,58498
862,59182
863,58885
864,58156
865,58507
866,58849
867,58714
868,59191
869,58372
870,59056
871,57832
872,58246
873,58525
874,58948
875,58318
876,58930
877,58210
878,57724
879,58525
880,58219
881,58318
882,58444
883,58003
884,58624
885,58138
886,59020
887,58408
888,58759
889,58093
890,58831
891,58012
892,58903
893,59128
894,58804
895,58768
896,58903
897,58894
898,58291
899,57940
900,58201
901,58678
902,58939
903,58606
904,58507
905,58687
906,59173
907,58516
908,58174
909,58840
910,59002
911,58966
912,58435
913,58570
914,59092
915,58615
916,58066
917,58489
918,58192
919,58993
920,58795
921,58885
922,59011
923,58651
924,58282
925,58804
926,59119
927,58093
928,57760
929,58750
930,58453
931,58705
932,59083
933,58696
934,58219
935,58489
936,59110
937,58642
938,58534
939,58471
940,58606
941,58255
942,58660
943,58525
944,58291
945,59380
946,58210
947,58903
948,58930
949,58822
950,58525
951,57877
952,59182
953,58444
954,59155
955,58984
956,59182
957,59002
958,58552
959,58633
960,58822
961,58939
962,58066
963,58642
964,59065
965,58813
966,58282
967,59110
968,58336
969,58714
970,58255
971,58678
972,59038
973,58714
974,58642
975,58858
976,58903
977,58912
978,59065
979,58642
980,58723
981,58822
982,58588
983,58867
984,58633
985,58327
986,58633
987,59011
988,57670
989,59227
990,59299
991,58561
992,58471
993,58777
994,58309
995,58867
996,58768
997,59308
998,59227
999,58858
