type,id,x,y,connected_bat
house,78,50,3,78
house,43,48,4,43
house,20,47,6,20
house,64,45,1,64
house,58,47,16,58
house,143,37,6,143
house,84,43,14,84
house,12,33,0,12
house,126,34,8,126
house,13,33,7,126
house,55,30,4,40
house,48,30,2,40
house,145,39,14,145
house,109,28,3,40
house,40,27,3,40
house,82,32,9,82
house,101,33,11,101
house,134,29,7,134
house,72,45,24,72
house,100,39,19,100
house,124,38,18,100
house,80,25,5,80
house,37,30,12,37
house,23,23,1,23
house,66,44,27,66
house,114,38,21,129
house,120,20,3,6
house,21,38,22,129
house,121,31,15,60
house,137,19,3,6
house,30,50,35,30
house,6,19,4,6
house,129,38,24,129
house,39,37,23,129
house,60,30,16,60
house,125,27,13,125
house,71,31,18,71
house,112,28,15,112
house,41,23,10,32
house,127,16,3,52
house,32,22,10,32
house,108,44,33,46
house,46,43,32,46
house,52,15,4,52
house,118,21,11,11
house,15,37,28,15
house,144,33,24,144
house,10,20,11,11
house,113,46,38,113
house,136,42,34,136
house,142,22,14,44
house,22,47,40,22
house,86,29,22,18
house,11,19,12,11
house,28,12,5,28
house,45,11,4,28
house,102,24,18,102
house,44,20,14,44
house,5,17,11,5
house,2,49,44,2
house,50,41,36,50
house,130,30,25,130
house,18,28,23,18
house,19,27,22,18
house,147,22,17,147
house,54,8,3,54
house,69,46,42,69
house,85,43,39,123
house,117,39,35,93
house,76,18,15,76
house,123,42,40,123
house,93,37,35,93
house,1,24,22,138
house,7,8,6,7
house,131,50,49,131
house,74,40,39,74
house,56,11,10,56
house,51,4,3,133
house,138,24,24,138
house,97,30,31,106
house,106,29,30,106
house,148,26,27,148
house,133,4,5,133
house,67,48,50,98
house,140,4,0,140
house,98,47,50,98
house,99,39,43,99
house,33,26,30,132
house,73,5,9,73
house,110,3,7,16
house,103,42,47,103
house,135,36,41,135
house,132,24,30,132
house,87,21,27,83
house,75,3,9,73
house,16,2,8,16
house,25,30,37,25
house,38,21,29,83
house,68,5,13,35
house,49,28,37,115
house,53,37,47,53
house,29,31,41,29
house,83,18,28,83
house,35,5,15,35
house,70,2,12,70
house,115,26,37,115
house,139,24,36,139
house,0,34,47,0
house,128,20,34,128
house,141,19,33,128
house,104,18,32,104
house,42,13,27,149
house,122,9,23,122
house,81,25,40,81
house,88,18,33,104
house,77,13,28,149
house,107,34,50,107
house,14,21,37,14
house,63,0,16,63
house,149,10,27,149
house,59,1,18,59
house,111,7,25,111
house,3,19,38,92
house,24,18,37,9
house,61,21,42,61
house,92,19,40,92
house,9,16,38,9
house,91,21,44,61
house,119,1,24,119
house,4,22,46,4
house,17,23,48,4
house,90,16,41,90
house,146,21,48,4
house,89,11,38,89
house,8,9,37,89
house,36,21,50,36
house,34,15,44,34
house,96,10,39,89
house,26,4,33,26
house,116,15,46,34
house,27,16,48,27
house,105,5,37,105
house,57,4,38,105
house,95,0,34,95
house,79,15,50,79
house,65,9,44,65
house,94,10,47,94
house,31,9,48,94
house,62,9,50,94
house,47,2,50,47
battery,149,12,27,149
battery,111,7,25,111
battery,122,9,23,122
battery,83,20,28,83
battery,89,10,38,89
battery,26,4,33,26
battery,119,1,24,119
battery,104,18,32,104
battery,148,26,27,148
battery,128,20,34,128
battery,105,4,38,105
battery,95,0,34,95
battery,132,25,30,132
battery,9,17,38,9
battery,65,9,44,65
battery,138,24,23,138
battery,56,11,10,56
battery,35,5,14,35
battery,59,1,18,59
battery,90,16,41,90
battery,76,18,15,76
battery,14,21,37,14
battery,92,19,39,92
battery,63,0,16,63
battery,130,30,25,130
battery,94,9,48,94
battery,147,22,17,147
battery,106,30,30,106
battery,139,24,36,139
battery,34,15,45,34
battery,18,28,22,18
battery,102,24,18,102
battery,5,17,11,5
battery,70,2,12,70
battery,7,8,6,7
battery,44,21,14,44
battery,73,4,9,73
battery,28,12,4,28
battery,144,33,24,144
battery,11,20,11,11
battery,54,8,3,54
battery,115,27,37,115
battery,61,21,43,61
battery,27,16,48,27
battery,16,2,8,16
battery,15,37,28,15
battery,81,25,40,81
battery,79,15,50,79
battery,32,22,10,32
battery,52,16,4,52
battery,133,4,4,133
battery,25,30,37,25
battery,71,31,18,71
battery,112,28,15,112
battery,60,30,16,60
battery,47,2,50,47
battery,125,27,13,125
battery,4,22,47,4
battery,129,38,22,129
battery,6,19,3,6
battery,140,4,0,140
battery,36,21,50,36
battery,66,44,27,66
battery,29,31,41,29
battery,37,30,12,37
battery,93,38,35,93
battery,100,38,18,100
battery,80,25,5,80
battery,72,45,24,72
battery,136,42,34,136
battery,46,44,32,46
battery,101,33,11,101
battery,134,29,7,134
battery,23,23,1,23
battery,135,36,41,135
battery,50,41,36,50
battery,82,32,9,82
battery,74,40,39,74
battery,145,39,14,145
battery,126,34,8,126
battery,40,29,3,40
battery,0,34,47,0
battery,99,39,43,99
battery,123,42,40,123
battery,84,43,14,84
battery,53,37,47,53
battery,107,34,50,107
battery,113,46,38,113
battery,30,50,35,30
battery,58,47,16,58
battery,143,37,6,143
battery,22,47,40,22
battery,12,33,0,12
battery,69,46,42,69
battery,103,42,47,103
battery,2,49,44,2
battery,20,47,6,20
battery,98,48,50,98
battery,64,45,1,64
battery,43,48,4,43
battery,131,50,49,131
battery,78,50,3,78
