iteration,costs
0,"[0, 61378]"
1,"[1, 60820]"
2,"[2, 60667]"
3,"[3, 62008]"
4,"[4, 60739]"
5,"[5, 62080]"
6,"[6, 62179]"
7,"[7, 61036]"
8,"[8, 61414]"
9,"[9, 62359]"
10,"[10, 60226]"
11,"[11, 63061]"
12,"[12, 61738]"
13,"[13, 62071]"
14,"[14, 62287]"
15,"[15, 60496]"
16,"[16, 61468]"
17,"[17, 60460]"
18,"[18, 61333]"
19,"[19, 64087]"
20,"[20, 62260]"
21,"[21, 61828]"
22,"[22, 61990]"
23,"[23, 62764]"
24,"[24, 63322]"
25,"[25, 61198]"
26,"[26, 60424]"
27,"[27, 61468]"
28,"[28, 61180]"
29,"[29, 61018]"
30,"[30, 61432]"
31,"[31, 61261]"
32,"[32, 64924]"
33,"[33, 60244]"
34,"[34, 62755]"
35,"[35, 61162]"
36,"[36, 61216]"
37,"[37, 61234]"
38,"[38, 63322]"
39,"[39, 61243]"
40,"[40, 61270]"
41,"[41, 60712]"
42,"[42, 62206]"
43,"[43, 61036]"
44,"[44, 61864]"
45,"[45, 61261]"
46,"[46, 61936]"
47,"[47, 61981]"
48,"[48, 60550]"
49,"[49, 61270]"
50,"[50, 61981]"
51,"[51, 62440]"
52,"[52, 61072]"
53,"[53, 64042]"
54,"[54, 60379]"
55,"[55, 61117]"
56,"[56, 63871]"
57,"[57, 61702]"
58,"[58, 61054]"
59,"[59, 60496]"
60,"[60, 61036]"
61,"[61, 61720]"
62,"[62, 62998]"
63,"[63, 60658]"
64,"[64, 62017]"
65,"[65, 65824]"
66,"[66, 61324]"
67,"[67, 61369]"
68,"[68, 60604]"
69,"[69, 61909]"
70,"[70, 60640]"
71,"[71, 61207]"
72,"[72, 62170]"
73,"[73, 60748]"
74,"[74, 63916]"
75,"[75, 61396]"
76,"[76, 60694]"
77,"[77, 62134]"
78,"[78, 60964]"
79,"[79, 61783]"
80,"[80, 61162]"
81,"[81, 62908]"
82,"[82, 60586]"
83,"[83, 61576]"
84,"[84, 61288]"
85,"[85, 60622]"
86,"[86, 61594]"
87,"[87, 62476]"
88,"[88, 61468]"
89,"[89, 60172]"
90,"[90, 60298]"
91,"[91, 61072]"
92,"[92, 60964]"
93,"[93, 62413]"
94,"[94, 63214]"
95,"[95, 61144]"
96,"[96, 60928]"
97,"[97, 62710]"
98,"[98, 62350]"
99,"[99, 62944]"
100,"[100, 61612]"
101,"[101, 61612]"
102,"[102, 61612]"
103,"[103, 61324]"
104,"[104, 61270]"
105,"[105, 60280]"
106,"[106, 62377]"
107,"[107, 61612]"
108,"[108, 62701]"
109,"[109, 60748]"
110,"[110, 61027]"
111,"[111, 61252]"
112,"[112, 62890]"
113,"[113, 62125]"
114,"[114, 62710]"
115,"[115, 61450]"
116,"[116, 62656]"
117,"[117, 61594]"
118,"[118, 61918]"
119,"[119, 61288]"
120,"[120, 63259]"
121,"[121, 60208]"
122,"[122, 61774]"
123,"[123, 61072]"
124,"[124, 61261]"
125,"[125, 61558]"
126,"[126, 60676]"
127,"[127, 60748]"
128,"[128, 61288]"
129,"[129, 63736]"
130,"[130, 62449]"
131,"[131, 62071]"
132,"[132, 60100]"
133,"[133, 60388]"
134,"[134, 63178]"
135,"[135, 60532]"
136,"[136, 60982]"
137,"[137, 61963]"
138,"[138, 61927]"
139,"[139, 62188]"
140,"[140, 63232]"
141,"[141, 64042]"
142,"[142, 61252]"
143,"[143, 61297]"
144,"[144, 60514]"
145,"[145, 61918]"
146,"[146, 62044]"
147,"[147, 61162]"
148,"[148, 60622]"
149,"[149, 60712]"
150,"[150, 61270]"
151,"[151, 62161]"
152,"[152, 60496]"
153,"[153, 63142]"
154,"[154, 62728]"
155,"[155, 64150]"
156,"[156, 60928]"
157,"[157, 61207]"
158,"[158, 61342]"
159,"[159, 62125]"
160,"[160, 61855]"
161,"[161, 60424]"
162,"[162, 63277]"
163,"[163, 60226]"
164,"[164, 60190]"
165,"[165, 60874]"
166,"[166, 61900]"
167,"[167, 61414]"
168,"[168, 61198]"
169,"[169, 60370]"
170,"[170, 60334]"
171,"[171, 60496]"
172,"[172, 60208]"
173,"[173, 61720]"
174,"[174, 60874]"
175,"[175, 65338]"
176,"[176, 60298]"
177,"[177, 60280]"
178,"[178, 60100]"
179,"[179, 62584]"
