iteration,costs
0,"[0, 63151]"
1,"[1, 63151]"
2,"[2, 63151]"
3,"[3, 63151]"
4,"[4, 63151]"
5,"[5, 63151]"
6,"[6, 63151]"
7,"[7, 63151]"
8,"[8, 63151]"
9,"[9, 63151]"
10,"[10, 63151]"
11,"[11, 63151]"
12,"[12, 63151]"
13,"[13, 63151]"
14,"[14, 63151]"
15,"[15, 63151]"
16,"[16, 63151]"
17,"[17, 63151]"
18,"[18, 63151]"
19,"[19, 63151]"
20,"[20, 63151]"
21,"[21, 63151]"
22,"[22, 63151]"
23,"[23, 63151]"
24,"[24, 63151]"
25,"[25, 63151]"
26,"[26, 63151]"
27,"[27, 63151]"
28,"[28, 63151]"
29,"[29, 63151]"
30,"[30, 63151]"
31,"[31, 63151]"
32,"[32, 63151]"
33,"[33, 63151]"
34,"[34, 63151]"
35,"[35, 63151]"
36,"[36, 63151]"
37,"[37, 63151]"
38,"[38, 63151]"
39,"[39, 63151]"
40,"[40, 63151]"
41,"[41, 63151]"
42,"[42, 63151]"
43,"[43, 63151]"
44,"[44, 63151]"
45,"[45, 63151]"
46,"[46, 63151]"
47,"[47, 63151]"
48,"[48, 63151]"
49,"[49, 63151]"
50,"[50, 63151]"
51,"[51, 63151]"
52,"[52, 63151]"
53,"[53, 63151]"
54,"[54, 63151]"
55,"[55, 63151]"
56,"[56, 63151]"
57,"[57, 63151]"
58,"[58, 63151]"
59,"[59, 63151]"
60,"[60, 63151]"
61,"[61, 63151]"
62,"[62, 63151]"
63,"[63, 63151]"
64,"[64, 63151]"
65,"[65, 63151]"
66,"[66, 63151]"
67,"[67, 63151]"
68,"[68, 63151]"
69,"[69, 63151]"
70,"[70, 63151]"
71,"[71, 63151]"
72,"[72, 63151]"
73,"[73, 63151]"
74,"[74, 63151]"
75,"[75, 63151]"
76,"[76, 63151]"
77,"[77, 63151]"
78,"[78, 63151]"
79,"[79, 63151]"
80,"[80, 63151]"
81,"[81, 63151]"
82,"[82, 63151]"
83,"[83, 63151]"
84,"[84, 63151]"
85,"[85, 63151]"
86,"[86, 63151]"
87,"[87, 63151]"
88,"[88, 63151]"
89,"[89, 63151]"
90,"[90, 63151]"
91,"[91, 63151]"
92,"[92, 63151]"
93,"[93, 63151]"
94,"[94, 63151]"
95,"[95, 63151]"
96,"[96, 63151]"
97,"[97, 63151]"
98,"[98, 63151]"
99,"[99, 63151]"
100,"[100, 63151]"
101,"[101, 63151]"
102,"[102, 63151]"
103,"[103, 63151]"
104,"[104, 63151]"
105,"[105, 63151]"
106,"[106, 63151]"
107,"[107, 63151]"
108,"[108, 63151]"
109,"[109, 63151]"
110,"[110, 63151]"
111,"[111, 63151]"
112,"[112, 63151]"
113,"[113, 63151]"
114,"[114, 63151]"
115,"[115, 63151]"
116,"[116, 63151]"
117,"[117, 63151]"
118,"[118, 63151]"
119,"[119, 63151]"
120,"[120, 63151]"
121,"[121, 63151]"
122,"[122, 63151]"
123,"[123, 63151]"
124,"[124, 63151]"
125,"[125, 63151]"
126,"[126, 63151]"
127,"[127, 63151]"
128,"[128, 63151]"
129,"[129, 63151]"
130,"[130, 63151]"
131,"[131, 63151]"
132,"[132, 63151]"
133,"[133, 63151]"
134,"[134, 63151]"
135,"[135, 63151]"
136,"[136, 63151]"
137,"[137, 63151]"
138,"[138, 63151]"
139,"[139, 63151]"
140,"[140, 63151]"
141,"[141, 63151]"
142,"[142, 63151]"
143,"[143, 63151]"
144,"[144, 63151]"
145,"[145, 63151]"
146,"[146, 63151]"
147,"[147, 63151]"
148,"[148, 63151]"
149,"[149, 63151]"
150,"[150, 63151]"
151,"[151, 63151]"
152,"[152, 63151]"
153,"[153, 63151]"
154,"[154, 63151]"
155,"[155, 63151]"
156,"[156, 63151]"
157,"[157, 63151]"
158,"[158, 63151]"
159,"[159, 63151]"
160,"[160, 63151]"
161,"[161, 63151]"
162,"[162, 63151]"
163,"[163, 63151]"
164,"[164, 63151]"
165,"[165, 63151]"
166,"[166, 63151]"
167,"[167, 63151]"
168,"[168, 63151]"
169,"[169, 63151]"
170,"[170, 63151]"
171,"[171, 63151]"
172,"[172, 63151]"
173,"[173, 63151]"
174,"[174, 63151]"
175,"[175, 63151]"
176,"[176, 63151]"
177,"[177, 63151]"
178,"[178, 63151]"
179,"[179, 63151]"
180,"[180, 63151]"
181,"[181, 63151]"
182,"[182, 63151]"
183,"[183, 63151]"
184,"[184, 63151]"
185,"[185, 63151]"
186,"[186, 63151]"
187,"[187, 63151]"
188,"[188, 63151]"
189,"[189, 63151]"
190,"[190, 63151]"
191,"[191, 63151]"
192,"[192, 63151]"
193,"[193, 63151]"
194,"[194, 63151]"
195,"[195, 63151]"
196,"[196, 63151]"
197,"[197, 63151]"
198,"[198, 63151]"
199,"[199, 63151]"
200,"[200, 63151]"
201,"[201, 63151]"
202,"[202, 63151]"
203,"[203, 63151]"
204,"[204, 63151]"
205,"[205, 63151]"
206,"[206, 63151]"
207,"[207, 63151]"
208,"[208, 63151]"
209,"[209, 63151]"
210,"[210, 63151]"
211,"[211, 63151]"
212,"[212, 63151]"
213,"[213, 63151]"
214,"[214, 63151]"
215,"[215, 63151]"
216,"[216, 63151]"
217,"[217, 63151]"
218,"[218, 63151]"
219,"[219, 63151]"
220,"[220, 63151]"
221,"[221, 63151]"
222,"[222, 63151]"
223,"[223, 63151]"
224,"[224, 63151]"
225,"[225, 63151]"
226,"[226, 63151]"
227,"[227, 63151]"
228,"[228, 63151]"
229,"[229, 63151]"
230,"[230, 63151]"
231,"[231, 63151]"
232,"[232, 63151]"
233,"[233, 63151]"
234,"[234, 63151]"
235,"[235, 63151]"
236,"[236, 63151]"
237,"[237, 63151]"
238,"[238, 63151]"
239,"[239, 63151]"
240,"[240, 63151]"
241,"[241, 63151]"
242,"[242, 63151]"
243,"[243, 63151]"
244,"[244, 63151]"
245,"[245, 63151]"
246,"[246, 63151]"
247,"[247, 63151]"
248,"[248, 63151]"
249,"[249, 63151]"
250,"[250, 63151]"
251,"[251, 63151]"
252,"[252, 63151]"
253,"[253, 63151]"
254,"[254, 63151]"
255,"[255, 63151]"
256,"[256, 63151]"
257,"[257, 63151]"
258,"[258, 63151]"
259,"[259, 63151]"
260,"[260, 63151]"
261,"[261, 63151]"
262,"[262, 63151]"
263,"[263, 63151]"
264,"[264, 63151]"
265,"[265, 63151]"
266,"[266, 63151]"
267,"[267, 63151]"
268,"[268, 63151]"
269,"[269, 63151]"
270,"[270, 63151]"
271,"[271, 63151]"
272,"[272, 63151]"
273,"[273, 63151]"
274,"[274, 63151]"
275,"[275, 63151]"
276,"[276, 63151]"
277,"[277, 63151]"
278,"[278, 63151]"
279,"[279, 63151]"
280,"[280, 63151]"
281,"[281, 63151]"
282,"[282, 63151]"
283,"[283, 63151]"
284,"[284, 63151]"
285,"[285, 63151]"
286,"[286, 63151]"
287,"[287, 63151]"
288,"[288, 63151]"
289,"[289, 63151]"
290,"[290, 63151]"
291,"[291, 63151]"
292,"[292, 63151]"
293,"[293, 63151]"
294,"[294, 63151]"
295,"[295, 63151]"
296,"[296, 63151]"
297,"[297, 63151]"
298,"[298, 63151]"
299,"[299, 63151]"
300,"[300, 63151]"
301,"[301, 63151]"
302,"[302, 63151]"
303,"[303, 63151]"
304,"[304, 63151]"
305,"[305, 63151]"
306,"[306, 63151]"
307,"[307, 63151]"
308,"[308, 63151]"
309,"[309, 63151]"
310,"[310, 63151]"
311,"[311, 63151]"
312,"[312, 63151]"
313,"[313, 63151]"
314,"[314, 63151]"
315,"[315, 63151]"
316,"[316, 63151]"
317,"[317, 63151]"
318,"[318, 63151]"
319,"[319, 63151]"
320,"[320, 63151]"
321,"[321, 63151]"
322,"[322, 63151]"
323,"[323, 63151]"
324,"[324, 63151]"
325,"[325, 63151]"
326,"[326, 63151]"
327,"[327, 63151]"
328,"[328, 63151]"
329,"[329, 63151]"
330,"[330, 63151]"
331,"[331, 63151]"
332,"[332, 63151]"
333,"[333, 63151]"
334,"[334, 63151]"
335,"[335, 63151]"
336,"[336, 63151]"
337,"[337, 63151]"
338,"[338, 63151]"
339,"[339, 63151]"
340,"[340, 63151]"
341,"[341, 63151]"
342,"[342, 63151]"
343,"[343, 63151]"
344,"[344, 63151]"
345,"[345, 63151]"
346,"[346, 63151]"
347,"[347, 63151]"
348,"[348, 63151]"
349,"[349, 63151]"
350,"[350, 63151]"
351,"[351, 63151]"
352,"[352, 63151]"
353,"[353, 63151]"
354,"[354, 63151]"
355,"[355, 63151]"
356,"[356, 63151]"
357,"[357, 63151]"
358,"[358, 63151]"
359,"[359, 63151]"
360,"[360, 63151]"
361,"[361, 63151]"
362,"[362, 63151]"
363,"[363, 63151]"
364,"[364, 63151]"
365,"[365, 63151]"
366,"[366, 63151]"
367,"[367, 63151]"
368,"[368, 63151]"
369,"[369, 63151]"
370,"[370, 63151]"
371,"[371, 63151]"
372,"[372, 63151]"
373,"[373, 63151]"
374,"[374, 63151]"
375,"[375, 63151]"
376,"[376, 63151]"
377,"[377, 63151]"
378,"[378, 63151]"
379,"[379, 63151]"
380,"[380, 63151]"
381,"[381, 63151]"
382,"[382, 63151]"
383,"[383, 63151]"
384,"[384, 63151]"
385,"[385, 63151]"
386,"[386, 63151]"
387,"[387, 63151]"
388,"[388, 63151]"
389,"[389, 63151]"
390,"[390, 63151]"
391,"[391, 63151]"
392,"[392, 63151]"
393,"[393, 63151]"
394,"[394, 63151]"
395,"[395, 63151]"
396,"[396, 63151]"
397,"[397, 63151]"
398,"[398, 63151]"
399,"[399, 63151]"
400,"[400, 63151]"
401,"[401, 63151]"
402,"[402, 63151]"
403,"[403, 63151]"
404,"[404, 63151]"
405,"[405, 63151]"
406,"[406, 63151]"
407,"[407, 63151]"
408,"[408, 63151]"
409,"[409, 63151]"
410,"[410, 63151]"
411,"[411, 63151]"
412,"[412, 63151]"
413,"[413, 63151]"
414,"[414, 63151]"
415,"[415, 63151]"
416,"[416, 63151]"
417,"[417, 63151]"
418,"[418, 63151]"
419,"[419, 63151]"
420,"[420, 63151]"
421,"[421, 63151]"
422,"[422, 63151]"
423,"[423, 63151]"
424,"[424, 63151]"
425,"[425, 63151]"
426,"[426, 63151]"
427,"[427, 63151]"
428,"[428, 63151]"
429,"[429, 63151]"
430,"[430, 63151]"
431,"[431, 63151]"
432,"[432, 63151]"
433,"[433, 63151]"
434,"[434, 63151]"
435,"[435, 63151]"
436,"[436, 63151]"
437,"[437, 63151]"
438,"[438, 63151]"
439,"[439, 63151]"
440,"[440, 63151]"
441,"[441, 63151]"
442,"[442, 63151]"
443,"[443, 63151]"
444,"[444, 63151]"
445,"[445, 63151]"
446,"[446, 63151]"
447,"[447, 63151]"
448,"[448, 63151]"
449,"[449, 63151]"
450,"[450, 63151]"
451,"[451, 63151]"
452,"[452, 63151]"
453,"[453, 63151]"
454,"[454, 63151]"
455,"[455, 63151]"
456,"[456, 63151]"
457,"[457, 63151]"
458,"[458, 63151]"
459,"[459, 63151]"
460,"[460, 63151]"
461,"[461, 63151]"
462,"[462, 63151]"
463,"[463, 63151]"
464,"[464, 63151]"
465,"[465, 63151]"
466,"[466, 63151]"
467,"[467, 63151]"
468,"[468, 63151]"
469,"[469, 63151]"
470,"[470, 63151]"
471,"[471, 63151]"
472,"[472, 63151]"
473,"[473, 63151]"
474,"[474, 63151]"
475,"[475, 63151]"
476,"[476, 63151]"
477,"[477, 63151]"
478,"[478, 63151]"
479,"[479, 63151]"
480,"[480, 63151]"
481,"[481, 63151]"
482,"[482, 63151]"
483,"[483, 63151]"
484,"[484, 63151]"
485,"[485, 63151]"
486,"[486, 63151]"
487,"[487, 63151]"
488,"[488, 63151]"
489,"[489, 63151]"
490,"[490, 63151]"
491,"[491, 63151]"
492,"[492, 63151]"
493,"[493, 63151]"
494,"[494, 63151]"
