iteration,costs
0,"[0, 57994]"
1,"[1, 59893]"
2,"[2, 60406]"
3,"[3, 57247]"
4,"[4, 59740]"
5,"[5, 57769]"
6,"[6, 58894]"
7,"[7, 58678]"
8,"[8, 58264]"
9,"[9, 58894]"
10,"[10, 59866]"
11,"[11, 58291]"
12,"[12, 58984]"
13,"[13, 62116]"
14,"[14, 58390]"
15,"[15, 58606]"
16,"[16, 59560]"
17,"[17, 58003]"
18,"[18, 58939]"
19,"[19, 60370]"
20,"[20, 59830]"
21,"[21, 65320]"
22,"[22, 57958]"
23,"[23, 59551]"
24,"[24, 59587]"
25,"[25, 57490]"
26,"[26, 57931]"
27,"[27, 58624]"
28,"[28, 58372]"
29,"[29, 57481]"
30,"[30, 58012]"
31,"[31, 61621]"
32,"[32, 58462]"
33,"[33, 62089]"
34,"[34, 57913]"
35,"[35, 57202]"
36,"[36, 62116]"
37,"[37, 57598]"
38,"[38, 58849]"
39,"[39, 59902]"
40,"[40, 60946]"
41,"[41, 61504]"
42,"[42, 58102]"
43,"[43, 59218]"
44,"[44, 62008]"
45,"[45, 58687]"
46,"[46, 58138]"
47,"[47, 57805]"
48,"[48, 57607]"
49,"[49, 58552]"
50,"[50, 59686]"
51,"[51, 58804]"
52,"[52, 59362]"
53,"[53, 62944]"
54,"[54, 60730]"
55,"[55, 58372]"
56,"[56, 61963]"
57,"[57, 58102]"
58,"[58, 57760]"
59,"[59, 57220]"
60,"[60, 58750]"
61,"[61, 59245]"
62,"[62, 57184]"
63,"[63, 60820]"
64,"[64, 57184]"
65,"[65, 57904]"
66,"[66, 59479]"
67,"[67, 58993]"
68,"[68, 63430]"
69,"[69, 61324]"
70,"[70, 59938]"
71,"[71, 57337]"
72,"[72, 61819]"
73,"[73, 57580]"
74,"[74, 57499]"
75,"[75, 58048]"
76,"[76, 59920]"
77,"[77, 61360]"
78,"[78, 57778]"
79,"[79, 58255]"
80,"[80, 57958]"
81,"[81, 57661]"
82,"[82, 58003]"
83,"[83, 57247]"
84,"[84, 61810]"
85,"[85, 60694]"
86,"[86, 57868]"
87,"[87, 61504]"
88,"[88, 59020]"
89,"[89, 57805]"
90,"[90, 59272]"
91,"[91, 58939]"
92,"[92, 60190]"
93,"[93, 57616]"
94,"[94, 57625]"
95,"[95, 59938]"
96,"[96, 58561]"
97,"[97, 59200]"
98,"[98, 57616]"
99,"[99, 59911]"
100,"[100, 59029]"
101,"[101, 62152]"
102,"[102, 58354]"
103,"[103, 59236]"
104,"[104, 60154]"
105,"[105, 60253]"
106,"[106, 58273]"
107,"[107, 59344]"
108,"[108, 59920]"
109,"[109, 60136]"
110,"[110, 57598]"
111,"[111, 61702]"
112,"[112, 57706]"
113,"[113, 60532]"
114,"[114, 59182]"
115,"[115, 58579]"
116,"[116, 57751]"
117,"[117, 59515]"
118,"[118, 61504]"
119,"[119, 60055]"
120,"[120, 57526]"
121,"[121, 57940]"
122,"[122, 59488]"
123,"[123, 61945]"
124,"[124, 58246]"
125,"[125, 57805]"
126,"[126, 57886]"
127,"[127, 59974]"
128,"[128, 63124]"
129,"[129, 58858]"
130,"[130, 57931]"
131,"[131, 58336]"
132,"[132, 58273]"
133,"[133, 58714]"
134,"[134, 58606]"
135,"[135, 60514]"
136,"[136, 58912]"
137,"[137, 59524]"
138,"[138, 58696]"
139,"[139, 59506]"
140,"[140, 60550]"
141,"[141, 57490]"
142,"[142, 58129]"
143,"[143, 64987]"
144,"[144, 60640]"
145,"[145, 61450]"
146,"[146, 59398]"
147,"[147, 61792]"
148,"[148, 60730]"
149,"[149, 62026]"
150,"[150, 58633]"
151,"[151, 58768]"
152,"[152, 57949]"
153,"[153, 58507]"
154,"[154, 58723]"
155,"[155, 59524]"
156,"[156, 60298]"
157,"[157, 60082]"
158,"[158, 60910]"
159,"[159, 57517]"
160,"[160, 57571]"
161,"[161, 58822]"
162,"[162, 61216]"
163,"[163, 57976]"
164,"[164, 58246]"
165,"[165, 57301]"
166,"[166, 57481]"
167,"[167, 58858]"
168,"[168, 58597]"
169,"[169, 59137]"
170,"[170, 57472]"
171,"[171, 59326]"
172,"[172, 59992]"
173,"[173, 62233]"
174,"[174, 59083]"
175,"[175, 57886]"
176,"[176, 59668]"
177,"[177, 58624]"
178,"[178, 59254]"
179,"[179, 57589]"
180,"[180, 57958]"
181,"[181, 59326]"
182,"[182, 58156]"
183,"[183, 57499]"
184,"[184, 59812]"
185,"[185, 60766]"
186,"[186, 57742]"
187,"[187, 59398]"
188,"[188, 60658]"
189,"[189, 58372]"
190,"[190, 57976]"
191,"[191, 62854]"
192,"[192, 59002]"
193,"[193, 58147]"
194,"[194, 60154]"
195,"[195, 60775]"
196,"[196, 62476]"
197,"[197, 58264]"
198,"[198, 63808]"
199,"[199, 59434]"
200,"[200, 60838]"
201,"[201, 59722]"
202,"[202, 58696]"
203,"[203, 58309]"
204,"[204, 57724]"
205,"[205, 59029]"
206,"[206, 58435]"
207,"[207, 60118]"
208,"[208, 58300]"
209,"[209, 57841]"
210,"[210, 57238]"
211,"[211, 58480]"
212,"[212, 57562]"
213,"[213, 61234]"
214,"[214, 58111]"
215,"[215, 57751]"
216,"[216, 61144]"
217,"[217, 61594]"
218,"[218, 57841]"
219,"[219, 58588]"
220,"[220, 61162]"
221,"[221, 58408]"
222,"[222, 58039]"
223,"[223, 58102]"
224,"[224, 57742]"
225,"[225, 57562]"
226,"[226, 57643]"
227,"[227, 58201]"
228,"[228, 60055]"
229,"[229, 58318]"
230,"[230, 59200]"
231,"[231, 59038]"
232,"[232, 57490]"
233,"[233, 58642]"
234,"[234, 61234]"
235,"[235, 61990]"
236,"[236, 60244]"
237,"[237, 59776]"
238,"[238, 58399]"
239,"[239, 60586]"
240,"[240, 63520]"
241,"[241, 57256]"
242,"[242, 62845]"
243,"[243, 59128]"
244,"[244, 60982]"
245,"[245, 58552]"
246,"[246, 63250]"
247,"[247, 59623]"
248,"[248, 60838]"
249,"[249, 58876]"
250,"[250, 59632]"
251,"[251, 61774]"
252,"[252, 57445]"
253,"[253, 57391]"
254,"[254, 59380]"
255,"[255, 61495]"
256,"[256, 58426]"
257,"[257, 60514]"
258,"[258, 57418]"
259,"[259, 57661]"
260,"[260, 58570]"
261,"[261, 57355]"
262,"[262, 57805]"
263,"[263, 58444]"
264,"[264, 58354]"
265,"[265, 60964]"
266,"[266, 59173]"
267,"[267, 57724]"
268,"[268, 57472]"
269,"[269, 58597]"
270,"[270, 61234]"
271,"[271, 57607]"
272,"[272, 59821]"
273,"[273, 57328]"
274,"[274, 58111]"
275,"[275, 57283]"
276,"[276, 58633]"
277,"[277, 57868]"
278,"[278, 63313]"
279,"[279, 57157]"
280,"[280, 58912]"
281,"[281, 57508]"
282,"[282, 58795]"
283,"[283, 57967]"
284,"[284, 59416]"
285,"[285, 57805]"
286,"[286, 57427]"
287,"[287, 58084]"
288,"[288, 58219]"
289,"[289, 59182]"
290,"[290, 57508]"
291,"[291, 59884]"
292,"[292, 57418]"
293,"[293, 57805]"
294,"[294, 57958]"
295,"[295, 59380]"
296,"[296, 61018]"
297,"[297, 59776]"
298,"[298, 60190]"
299,"[299, 59776]"
300,"[300, 58732]"
301,"[301, 60820]"
302,"[302, 58777]"
303,"[303, 64006]"
304,"[304, 60316]"
305,"[305, 58246]"
306,"[306, 59974]"
307,"[307, 58120]"
308,"[308, 61072]"
309,"[309, 58570]"
310,"[310, 57670]"
311,"[311, 60244]"
312,"[312, 59272]"
313,"[313, 58372]"
314,"[314, 59326]"
315,"[315, 58012]"
316,"[316, 60820]"
317,"[317, 58084]"
318,"[318, 58390]"
319,"[319, 61090]"
320,"[320, 57724]"
321,"[321, 57913]"
322,"[322, 57472]"
323,"[323, 60028]"
324,"[324, 58264]"
325,"[325, 59254]"
326,"[326, 58948]"
327,"[327, 57913]"
328,"[328, 60622]"
329,"[329, 57607]"
330,"[330, 59065]"
331,"[331, 58804]"
332,"[332, 61558]"
333,"[333, 58255]"
334,"[334, 60523]"
335,"[335, 57805]"
336,"[336, 59542]"
337,"[337, 60055]"
338,"[338, 60424]"
339,"[339, 58255]"
340,"[340, 61270]"
341,"[341, 60226]"
342,"[342, 59920]"
343,"[343, 63214]"
344,"[344, 57940]"
345,"[345, 62638]"
346,"[346, 58534]"
347,"[347, 58786]"
348,"[348, 59992]"
349,"[349, 59632]"
350,"[350, 57454]"
351,"[351, 58606]"
352,"[352, 58426]"
353,"[353, 60802]"
354,"[354, 60928]"
355,"[355, 58210]"
356,"[356, 57742]"
357,"[357, 61684]"
358,"[358, 59884]"
359,"[359, 58714]"
360,"[360, 57535]"
361,"[361, 59560]"
362,"[362, 57859]"
363,"[363, 58714]"
364,"[364, 60424]"
365,"[365, 58840]"
366,"[366, 57670]"
367,"[367, 59218]"
368,"[368, 57958]"
369,"[369, 58444]"
370,"[370, 60946]"
371,"[371, 57814]"
372,"[372, 60451]"
373,"[373, 59056]"
374,"[374, 62395]"
375,"[375, 58066]"
376,"[376, 57652]"
377,"[377, 58039]"
378,"[378, 59002]"
379,"[379, 58282]"
380,"[380, 57184]"
381,"[381, 60208]"
382,"[382, 59767]"
383,"[383, 57400]"
384,"[384, 61234]"
385,"[385, 57841]"
386,"[386, 57724]"
387,"[387, 59488]"
388,"[388, 62584]"
389,"[389, 58759]"
390,"[390, 58300]"
391,"[391, 57931]"
392,"[392, 58678]"
393,"[393, 58057]"
394,"[394, 57598]"
395,"[395, 58093]"
396,"[396, 58408]"
397,"[397, 58570]"
398,"[398, 59164]"
399,"[399, 58714]"
400,"[400, 60019]"
401,"[401, 61774]"
402,"[402, 57499]"
403,"[403, 61522]"
404,"[404, 59254]"
405,"[405, 58489]"
406,"[406, 64159]"
407,"[407, 57904]"
408,"[408, 57841]"
409,"[409, 61459]"
410,"[410, 58462]"
411,"[411, 58363]"
