iteration,costs
0,"[0, 60361]"
1,"[1, 58219]"
2,"[2, 59452]"
3,"[3, 60154]"
4,"[4, 58021]"
5,"[5, 58012]"
6,"[6, 62584]"
7,"[7, 58732]"
8,"[8, 59596]"
9,"[9, 58921]"
10,"[10, 63520]"
11,"[11, 57805]"
12,"[12, 59254]"
13,"[13, 61036]"
14,"[14, 60766]"
15,"[15, 57472]"
16,"[16, 60568]"
17,"[17, 57634]"
18,"[18, 58552]"
19,"[19, 57724]"
20,"[20, 58561]"
21,"[21, 57958]"
22,"[22, 58813]"
23,"[23, 60667]"
24,"[24, 57958]"
25,"[25, 58354]"
26,"[26, 61378]"
27,"[27, 61270]"
28,"[28, 60658]"
29,"[29, 59380]"
30,"[30, 57508]"
31,"[31, 59587]"
32,"[32, 57355]"
33,"[33, 58498]"
34,"[34, 60280]"
35,"[35, 57832]"
36,"[36, 60550]"
37,"[37, 61594]"
38,"[38, 57823]"
39,"[39, 58525]"
40,"[40, 59416]"
41,"[41, 57157]"
42,"[42, 59398]"
43,"[43, 60361]"
44,"[44, 59668]"
45,"[45, 59452]"
46,"[46, 59740]"
47,"[47, 57616]"
48,"[48, 59794]"
49,"[49, 58201]"
50,"[50, 61693]"
51,"[51, 61036]"
52,"[52, 57697]"
53,"[53, 57823]"
54,"[54, 58489]"
55,"[55, 58903]"
56,"[56, 62377]"
57,"[57, 60478]"
58,"[58, 57994]"
59,"[59, 57832]"
60,"[60, 57796]"
61,"[61, 57652]"
62,"[62, 57706]"
63,"[63, 57940]"
64,"[64, 60415]"
65,"[65, 58696]"
66,"[66, 62710]"
67,"[67, 57670]"
68,"[68, 62998]"
69,"[69, 60118]"
70,"[70, 59425]"
71,"[71, 59740]"
72,"[72, 58354]"
73,"[73, 58642]"
74,"[74, 57472]"
75,"[75, 62098]"
76,"[76, 60901]"
77,"[77, 58399]"
78,"[78, 58228]"
79,"[79, 58327]"
80,"[80, 65041]"
81,"[81, 62224]"
82,"[82, 57805]"
83,"[83, 60334]"
84,"[84, 58282]"
85,"[85, 59335]"
86,"[86, 60136]"
87,"[87, 61792]"
88,"[88, 60172]"
89,"[89, 57382]"
90,"[90, 57868]"
91,"[91, 58111]"
92,"[92, 60586]"
93,"[93, 57715]"
94,"[94, 57814]"
95,"[95, 57418]"
96,"[96, 62530]"
97,"[97, 57571]"
98,"[98, 60181]"
99,"[99, 59164]"
100,"[100, 57391]"
101,"[101, 59110]"
102,"[102, 58318]"
103,"[103, 59020]"
104,"[104, 59452]"
105,"[105, 59461]"
106,"[106, 57931]"
107,"[107, 57994]"
108,"[108, 57931]"
109,"[109, 58246]"
110,"[110, 58066]"
111,"[111, 58363]"
112,"[112, 59011]"
113,"[113, 62638]"
114,"[114, 58858]"
115,"[115, 59812]"
116,"[116, 58201]"
117,"[117, 58813]"
118,"[118, 58201]"
119,"[119, 57256]"
120,"[120, 57553]"
121,"[121, 58471]"
122,"[122, 57283]"
123,"[123, 58507]"
124,"[124, 61108]"
125,"[125, 57355]"
126,"[126, 61810]"
127,"[127, 61198]"
128,"[128, 58606]"
129,"[129, 58255]"
130,"[130, 61288]"
131,"[131, 62602]"
132,"[132, 58516]"
133,"[133, 58624]"
134,"[134, 57931]"
135,"[135, 58534]"
136,"[136, 57427]"
137,"[137, 60190]"
138,"[138, 64654]"
139,"[139, 58084]"
140,"[140, 57850]"
141,"[141, 62620]"
142,"[142, 58048]"
143,"[143, 58471]"
144,"[144, 58345]"
145,"[145, 57112]"
146,"[146, 59155]"
147,"[147, 57292]"
148,"[148, 59182]"
149,"[149, 57751]"
150,"[150, 61234]"
151,"[151, 58903]"
152,"[152, 59119]"
153,"[153, 58030]"
154,"[154, 58462]"
155,"[155, 58003]"
156,"[156, 59110]"
157,"[157, 60820]"
158,"[158, 58678]"
159,"[159, 60136]"
160,"[160, 59704]"
161,"[161, 58840]"
162,"[162, 58147]"
163,"[163, 58741]"
164,"[164, 57652]"
165,"[165, 62386]"
166,"[166, 57742]"
167,"[167, 57247]"
168,"[168, 57607]"
169,"[169, 60730]"
170,"[170, 57688]"
171,"[171, 64528]"
172,"[172, 59326]"
173,"[173, 58444]"
174,"[174, 60046]"
175,"[175, 57634]"
176,"[176, 61270]"
177,"[177, 61522]"
178,"[178, 59461]"
179,"[179, 57931]"
180,"[180, 57760]"
181,"[181, 62755]"
182,"[182, 59281]"
183,"[183, 58750]"
184,"[184, 57589]"
185,"[185, 58480]"
186,"[186, 60478]"
187,"[187, 57517]"
188,"[188, 57697]"
189,"[189, 61423]"
190,"[190, 62980]"
191,"[191, 57967]"
192,"[192, 62764]"
193,"[193, 59020]"
194,"[194, 57760]"
195,"[195, 62143]"
196,"[196, 59398]"
197,"[197, 62566]"
198,"[198, 57976]"
199,"[199, 59254]"
200,"[200, 59083]"
201,"[201, 58930]"
202,"[202, 57823]"
203,"[203, 58255]"
204,"[204, 61990]"
205,"[205, 58507]"
206,"[206, 58174]"
207,"[207, 61828]"
208,"[208, 60118]"
209,"[209, 58444]"
210,"[210, 58309]"
211,"[211, 59137]"
212,"[212, 58552]"
213,"[213, 57958]"
214,"[214, 58372]"
215,"[215, 61225]"
216,"[216, 57616]"
217,"[217, 58588]"
218,"[218, 60091]"
219,"[219, 58264]"
220,"[220, 58192]"
221,"[221, 58633]"
222,"[222, 64789]"
223,"[223, 59110]"
224,"[224, 59848]"
225,"[225, 63439]"
226,"[226, 57751]"
227,"[227, 58012]"
228,"[228, 57832]"
229,"[229, 57940]"
230,"[230, 57976]"
231,"[231, 58156]"
232,"[232, 58678]"
233,"[233, 59254]"
234,"[234, 62044]"
235,"[235, 58696]"
236,"[236, 57400]"
237,"[237, 58462]"
238,"[238, 57355]"
239,"[239, 58552]"
240,"[240, 59416]"
241,"[241, 59200]"
242,"[242, 60091]"
243,"[243, 58867]"
244,"[244, 57850]"
245,"[245, 60406]"
246,"[246, 57535]"
247,"[247, 60640]"
248,"[248, 58399]"
249,"[249, 62314]"
250,"[250, 58714]"
251,"[251, 60370]"
252,"[252, 60802]"
253,"[253, 57805]"
254,"[254, 57157]"
255,"[255, 59236]"
256,"[256, 57535]"
257,"[257, 63214]"
258,"[258, 59344]"
259,"[259, 58966]"
260,"[260, 57607]"
261,"[261, 60154]"
262,"[262, 61342]"
263,"[263, 60208]"
264,"[264, 60820]"
265,"[265, 58147]"
266,"[266, 59362]"
267,"[267, 58822]"
268,"[268, 58183]"
269,"[269, 61558]"
270,"[270, 57535]"
271,"[271, 59560]"
272,"[272, 59236]"
273,"[273, 58705]"
274,"[274, 58840]"
275,"[275, 58894]"
276,"[276, 57850]"
277,"[277, 57661]"
278,"[278, 60613]"
279,"[279, 59398]"
280,"[280, 62845]"
281,"[281, 62620]"
282,"[282, 57760]"
283,"[283, 57508]"
284,"[284, 58075]"
285,"[285, 58048]"
286,"[286, 57481]"
287,"[287, 58732]"
288,"[288, 58732]"
289,"[289, 58624]"
290,"[290, 60874]"
291,"[291, 59515]"
292,"[292, 58012]"
293,"[293, 61252]"
294,"[294, 60154]"
295,"[295, 57112]"
296,"[296, 60244]"
297,"[297, 62728]"
298,"[298, 59182]"
299,"[299, 57337]"
300,"[300, 57715]"
301,"[301, 59848]"
302,"[302, 57589]"
303,"[303, 58480]"
304,"[304, 63070]"
305,"[305, 59803]"
306,"[306, 60658]"
307,"[307, 59740]"
308,"[308, 58354]"
309,"[309, 59650]"
310,"[310, 62413]"
311,"[311, 59398]"
312,"[312, 60514]"
313,"[313, 60964]"
314,"[314, 61216]"
315,"[315, 58291]"
316,"[316, 57625]"
317,"[317, 58966]"
318,"[318, 58111]"
319,"[319, 60307]"
320,"[320, 59038]"
321,"[321, 62008]"
322,"[322, 58642]"
323,"[323, 59938]"
324,"[324, 59695]"
325,"[325, 58336]"
326,"[326, 58129]"
327,"[327, 57904]"
328,"[328, 58066]"
329,"[329, 60280]"
330,"[330, 57706]"
331,"[331, 58309]"
332,"[332, 65302]"
333,"[333, 57787]"
334,"[334, 57634]"
335,"[335, 60226]"
336,"[336, 58786]"
337,"[337, 57634]"
338,"[338, 61657]"
339,"[339, 59515]"
340,"[340, 59965]"
341,"[341, 60550]"
342,"[342, 57517]"
343,"[343, 60082]"
344,"[344, 57607]"
345,"[345, 58615]"
346,"[346, 60199]"
347,"[347, 62296]"
348,"[348, 61900]"
349,"[349, 57481]"
350,"[350, 65104]"
351,"[351, 57607]"
352,"[352, 57706]"
353,"[353, 58957]"
354,"[354, 58543]"
355,"[355, 58246]"
356,"[356, 58822]"
357,"[357, 58363]"
358,"[358, 61072]"
359,"[359, 61693]"
360,"[360, 59902]"
361,"[361, 58462]"
362,"[362, 58561]"
363,"[363, 57355]"
364,"[364, 60406]"
365,"[365, 62206]"
366,"[366, 62125]"
367,"[367, 59713]"
368,"[368, 59236]"
369,"[369, 58696]"
370,"[370, 58147]"
371,"[371, 57094]"
372,"[372, 59893]"
373,"[373, 61378]"
374,"[374, 59542]"
375,"[375, 60352]"
376,"[376, 57841]"
377,"[377, 57238]"
378,"[378, 61612]"
379,"[379, 58120]"
380,"[380, 60514]"
381,"[381, 61720]"
382,"[382, 58696]"
383,"[383, 60568]"
384,"[384, 59227]"
385,"[385, 58759]"
386,"[386, 58516]"
387,"[387, 59092]"
388,"[388, 60064]"
389,"[389, 58039]"
390,"[390, 63466]"
391,"[391, 57589]"
392,"[392, 57301]"
393,"[393, 60532]"
394,"[394, 58075]"
395,"[395, 60388]"
396,"[396, 57400]"
397,"[397, 63205]"
398,"[398, 58786]"
399,"[399, 58615]"
400,"[400, 59380]"
401,"[401, 59254]"
