costs,run
60838,1
60343,2
60343,3
60316,4
60820,5
59542,6
59983,7
59605,8
60091,9
59542,10
60514,11
60802,12
60244,13
60361,14
60307,15
60271,16
61090,17
59677,18
60181,19
61585,20
59947,21
60397,22
59920,23
60136,24
59758,25
60037,26
61270,27
60910,28
61270,29
60352,30
59929,31
60469,32
59776,33
60676,34
61540,35
60343,36
60019,37
60694,38
61333,39
60901,40
59947,41
60613,42
60784,43
61261,44
60028,45
59857,46
59434,47
60631,48
60559,49
60910,50
60172,51
60316,52
60757,53
61324,54
60586,55
61648,56
60226,57
60316,58
61711,59
60208,60
60721,61
60388,62
60649,63
61207,64
59425,65
60946,66
59605,67
61342,68
59839,69
61099,70
59047,71
60028,72
60541,73
60982,74
60919,75
60847,76
60352,77
60442,78
61513,79
60802,80
60775,81
59839,82
60298,83
61135,84
60739,85
60964,86
60073,87
60910,88
60424,89
59974,90
60010,91
59353,92
60280,93
61207,94
60523,95
61315,96
59929,97
60757,98
60415,99
60595,100
