iteration,costs
0,48427
1,48427
2,48427
3,48427
4,48427
5,48427
6,48427
7,48427
8,48427
9,48427
10,48427
11,48139
12,48139
13,48139
14,48139
15,48139
16,48139
17,48139
18,48139
19,48139
20,48139
21,48139
22,48139
23,48139
24,48139
25,48139
26,48139
27,48139
28,48139
29,48139
30,48139
31,48139
32,48139
33,48139
34,48139
35,48139
36,48139
37,48139
38,48139
39,48067
40,48067
41,48067
42,48067
43,48067
44,48067
45,48067
46,48067
47,48067
48,48067
49,48067
50,48067
51,48067
52,48067
53,48031
54,48031
55,48031
56,48031
57,48031
58,48031
59,48031
60,48031
61,48031
62,48031
63,48031
64,48031
65,47941
66,47941
67,47941
68,47941
69,47941
70,47941
71,47941
72,47941
73,47941
74,47941
75,47941
76,47941
77,47941
78,47941
79,47941
80,47941
81,47941
82,47941
83,47941
84,47941
85,47941
86,47941
87,47797
88,47797
89,47797
90,47797
91,47797
92,47797
93,47797
94,47797
95,47797
96,47797
97,47797
98,47797
99,47797
100,47797
101,47797
102,47797
103,47797
104,47797
105,47797
106,47797
107,47797
108,47797
109,47797
110,47797
111,47797
112,47797
113,47797
114,47797
115,47797
116,47797
117,47797
118,47797
119,47797
120,47797
121,47797
122,47797
123,47797
124,47797
125,47797
126,47797
127,47797
128,47797
129,47797
130,47797
131,47797
132,47797
133,47797
134,47797
135,47725
136,47725
137,47725
138,47725
139,47725
140,47725
141,47725
142,47725
143,47725
144,47725
145,47725
146,47725
147,47725
148,47725
149,47725
150,47725
151,47725
152,47725
153,47725
154,47725
155,47725
156,47725
157,47725
158,47725
159,47725
160,47725
161,47725
162,47725
163,47725
164,47725
165,47725
166,47725
167,47725
168,47563
169,47563
170,47563
171,47563
172,47563
173,47563
174,47437
175,47347
176,47347
177,47329
178,47329
179,47329
180,47329
181,47329
182,47329
183,47329
184,47329
185,47329
186,47329
187,47329
188,47329
189,47329
190,47329
191,47329
192,47329
193,47329
194,47329
195,47329
196,47329
197,47329
198,47329
199,47131
200,47131
201,47131
202,47131
203,47131
204,47131
205,47131
206,47131
207,47131
208,47131
209,47131
210,47131
211,47131
212,47131
213,47131
214,46969
215,46969
216,46969
217,46969
218,46969
219,46969
220,46969
221,46969
222,46969
223,46969
224,46897
225,46897
226,46897
227,46897
228,46897
229,46897
230,46897
231,46897
232,46897
233,46897
234,46897
235,46897
236,46897
237,46897
238,46897
239,46897
240,46897
241,46897
242,46897
243,46897
244,46897
245,46897
246,46897
247,46897
248,46897
249,46897
250,46897
251,46897
252,46897
253,46897
254,46897
255,46897
256,46897
257,46897
258,46897
259,46897
260,46897
261,46897
262,46897
263,46897
264,46897
265,46897
266,46897
267,46897
268,46897
269,46897
270,46897
271,46897
272,46897
273,46897
274,46897
275,46897
276,46897
277,46897
278,46897
279,46897
280,46897
281,46897
282,46897
283,46897
284,46897
285,46897
286,46897
287,46897
288,46897
289,46897
290,46897
291,46897
292,46897
293,46897
294,46897
295,46897
296,46897
297,46897
298,46897
299,46897
300,46897
301,46897
302,46897
303,46897
304,46897
305,46897
306,46897
307,46897
