iteration,costs
0,64708
1,64708
2,64708
3,64708
4,64708
5,64708
6,64708
7,64708
8,64708
9,64708
10,64708
11,64708
12,64708
13,64708
14,64510
15,64510
16,64510
17,64510
18,64510
19,64510
20,64510
21,64510
22,64510
23,64510
24,64510
25,64510
26,64510
27,64510
28,64510
29,64510
30,64510
31,64510
32,64510
33,64510
34,64510
35,64510
36,64510
37,64510
38,64510
39,64510
40,64510
41,64510
42,64510
43,64510
44,64510
45,64510
46,64510
47,64510
48,64510
49,64510
50,64510
51,64510
52,63934
53,63934
54,63934
55,63826
56,63826
57,63826
58,63826
59,63826
60,63826
61,63826
62,63826
63,63826
64,63826
65,63826
66,63484
67,63484
68,63484
69,63484
70,63484
71,63484
72,63412
73,63412
74,63412
75,63412
76,63412
77,63412
78,63412
79,63412
80,63412
81,63412
82,63412
83,63412
84,63412
85,63412
86,63412
87,63412
88,63412
89,62926
90,62926
91,62926
92,62926
93,62926
94,62926
95,62926
96,62926
97,62926
98,62926
99,62926
100,61828
101,61828
102,61828
103,61828
104,61828
105,61828
106,61828
107,61828
108,61396
109,61396
110,61396
111,61396
112,61396
113,61396
114,61396
115,61396
116,61396
117,61396
118,61396
119,61396
120,61396
121,61396
122,61396
123,61396
124,61396
125,61396
126,61396
127,61396
128,61396
129,61396
130,61396
131,61396
132,61396
133,61396
134,61396
135,61396
136,61396
137,61396
138,61396
139,61396
140,61396
141,61396
142,61396
143,61396
144,61396
145,61396
146,61396
147,61396
148,61396
149,61396
150,61396
151,61396
152,61396
153,61396
154,61396
155,61396
156,61396
157,61396
158,61396
159,61396
160,61396
161,61396
162,61396
163,61396
164,61396
165,61396
166,61396
167,61396
168,61396
169,61396
170,61396
171,61396
172,61396
173,61396
174,61324
175,61324
176,61324
177,61324
178,61324
179,61324
180,61324
181,61324
182,61324
183,61324
184,61324
185,61324
186,61324
187,61324
188,61324
189,61324
190,61324
191,61324
192,61324
193,61324
194,61324
195,61324
196,61324
197,61324
198,61324
199,61324
200,61324
201,61324
202,61324
203,61324
204,61324
205,61324
206,61324
207,61324
208,61324
209,61324
210,61324
211,61324
212,61324
213,61324
214,61324
215,61324
216,61324
217,61324
218,61324
219,61324
220,61324
221,61324
222,61324
223,61324
224,61324
225,61324
226,61324
227,61324
228,61324
229,61324
230,61324
231,61324
232,61324
233,61324
234,61324
235,61324
236,61324
237,61324
238,61324
239,61324
240,61324
241,61324
242,61324
243,61324
244,61324
245,61324
246,61324
247,61324
248,61324
249,61324
250,61324
251,61324
252,61324
253,61324
254,61324
255,61324
256,61324
257,61324
258,61324
259,61144
260,61144
261,61144
262,61144
263,61144
264,61144
265,61144
266,61144
267,61144
268,61144
269,61144
270,61144
271,61144
272,61144
273,61144
274,61144
275,61144
276,61144
277,61144
278,61144
