iteration,costs
0,"[0, 57238]"
1,"[1, 57544]"
2,"[2, 57634]"
3,"[3, 57076]"
4,"[4, 57004]"
5,"[5, 57472]"
6,"[6, 57148]"
7,"[7, 57292]"
8,"[8, 57454]"
9,"[9, 57346]"
10,"[10, 57382]"
11,"[11, 57454]"
12,"[12, 57526]"
13,"[13, 57418]"
14,"[14, 57076]"
15,"[15, 57544]"
16,"[16, 57328]"
17,"[17, 57418]"
18,"[18, 57130]"
19,"[19, 56986]"
20,"[20, 57454]"
21,"[21, 57634]"
22,"[22, 57598]"
23,"[23, 57040]"
24,"[24, 57130]"
25,"[25, 57580]"
26,"[26, 57454]"
27,"[27, 57076]"
28,"[28, 57274]"
29,"[29, 57292]"
30,"[30, 57346]"
31,"[31, 57274]"
32,"[32, 57400]"
33,"[33, 57418]"
34,"[34, 57004]"
35,"[35, 57076]"
36,"[36, 57058]"
37,"[37, 57562]"
38,"[38, 57544]"
39,"[39, 57130]"
40,"[40, 57508]"
41,"[41, 57166]"
42,"[42, 57562]"
43,"[43, 57436]"
44,"[44, 57670]"
45,"[45, 57256]"
46,"[46, 57436]"
47,"[47, 57184]"
48,"[48, 57148]"
49,"[49, 57652]"
50,"[50, 57022]"
51,"[51, 57562]"
52,"[52, 57580]"
53,"[53, 57184]"
54,"[54, 57616]"
55,"[55, 57418]"
56,"[56, 57670]"
57,"[57, 57598]"
58,"[58, 57670]"
59,"[59, 57256]"
60,"[60, 57148]"
61,"[61, 57454]"
62,"[62, 57184]"
63,"[63, 57580]"
64,"[64, 57526]"
65,"[65, 57220]"
66,"[66, 57130]"
67,"[67, 57220]"
68,"[68, 57238]"
69,"[69, 57652]"
70,"[70, 57058]"
71,"[71, 57058]"
72,"[72, 57130]"
73,"[73, 57094]"
74,"[74, 57328]"
75,"[75, 57544]"
76,"[76, 57454]"
77,"[77, 57364]"
78,"[78, 57184]"
79,"[79, 57292]"
80,"[80, 57148]"
81,"[81, 57130]"
82,"[82, 57094]"
83,"[83, 57562]"
84,"[84, 57256]"
85,"[85, 57076]"
